2025/02/14 12:55:49 [error] 10716#9336: *2468 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/02/socialmediasharing-1.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local"
2025/02/27 10:24:07 [error] 29616#4848: *2973 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?wp_scrape_key=476f9bf37153886749262a67a686d944&wp_scrape_nonce=1240424934 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local"
2025/03/24 10:51:24 [error] 1636#2952: *12090 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12092 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/site-editor.php?_wp-find-template=true&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12100 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=4&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12100 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=4&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12088 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/290?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage&canvas=edit"
2025/03/24 10:51:24 [error] 1636#2952: *12094 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=3&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12094 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=3&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12098 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "HEAD /wp-json/wp/v2/comments?status=approve&order=asc&context=embed&parent=0&_embed=children&per_page=50&_fields=id&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12098 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD /wp-json/wp/v2/comments?status=approve&order=asc&context=embed&parent=0&_embed=children&per_page=50&_fields=id&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12102 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12107 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types/post?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12103 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/category?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12104 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12105 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/categories?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12106 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/post_tag?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12108 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/tags?context=view&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12109 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&type=post&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12110 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/templates/lookup?slug=page-elementor-193&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/24 10:51:24 [error] 1636#2952: *12111 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=page"
2025/03/24 10:51:24 [error] 1636#2952: *12112 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=20&page=1&_embed=author&order=desc&orderby=date&search=&status=draft%2Cfuture%2Cpending%2Cprivate%2Cpublish&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=page"
2025/03/24 10:51:27 [error] 1636#2952: *12126 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD /wp-admin/site-editor.php?postType=page HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=page"
2025/03/24 10:51:31 [error] 1636#2952: *12127 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD /wp-admin/site-editor.php?postType=page&layout=list HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=page&layout=list"
2025/03/24 10:51:32 [error] 1636#2952: *12128 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&per_page=20&page=1&_embed=author&order=desc&orderby=date&search=&status=publish&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=page&layout=list&activeView=published"
2025/03/28 13:51:05 [crit] 16936#20900: *5181 GetFileAttributesEx() "C:/Users/ngten/Local Sites/jcubsb/app/public/wp-admin/<path-to-image>" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-admin/%3Cpath-to-image%3E HTTP/1.1", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/post.php?post=293&action=edit"
2025/03/28 13:51:05 [crit] 16936#20900: *5181 GetFileAttributesEx() "C:/Users/ngten/Local Sites/jcubsb/app/public/wp-admin/<path-to-image>" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /wp-admin/%3Cpath-to-image%3E HTTP/1.1", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/post.php?post=293&action=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10692 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/my-child-theme//header?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10704 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10700 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10698 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/my-child-theme//footer?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10698 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/my-child-theme//footer?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10702 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10702 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10700 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/block-patterns/patterns?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10709 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10709 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/blocks?context=edit&per_page=100&page=1&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10704 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10692 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/template-parts/my-child-theme//header?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10711 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/template-parts/my-child-theme//footer?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:22 [error] 16936#20900: *10712 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/template-parts/my-child-theme//header?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event&canvas=edit"
2025/03/28 14:44:24 [error] 16936#20900: *10713 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/post.php?post=461&action=edit"
2025/03/28 14:44:26 [error] 16936#20900: *10714 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:26 [error] 16936#20900: *10769 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/site-editor.php?_wp-find-template=true&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:26 [error] 16936#20900: *10770 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=3&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10840 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10841 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types/page?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10842 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10843 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=4&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10844 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/posts?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10845 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10846 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types/post?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10847 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/category?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10848 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies/post_tag?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10849 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&type=post&per_page=100&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10854 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD /wp-json/wp/v2/comments?status=approve&order=asc&context=embed&parent=0&_embed=children&per_page=50&_fields=id&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10871 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/posts?context=edit&offset=0&order=desc&orderby=date&per_page=10&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=tec%2F%2Fsingle-event"
2025/03/28 14:44:27 [error] 16936#20900: *10872 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/193?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/28 14:44:30 [error] 16936#20900: *11025 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD /wp-json/wp/v2/comments?status=approve&order=asc&context=embed&parent=0&_embed=children&per_page=50&_fields=id&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template"
2025/03/28 14:44:35 [error] 16936#20900: *11047 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1743137075.7969269752502441406250 HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local"
2025/03/28 14:44:35 [error] 16936#20900: *11048 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1743137075.7970020771026611328125 HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local"
